City,Activity,Activity Address,Best Time to Visit,Estimated Budget (INR)
Mumbai,River Rafting,"31, Heritage Lane, Mumbai",November to February,10482
Bhubaneswar,Trekking,"81, Central Plaza, Bhubaneswar",October to February,7620
Imphal,Museum Visit,"89, Garden Street, Imphal",November to March,1256
Surat,Cultural Tour,"84, Hill View Road, Surat",November to February,7505
Lakshadweep,Trekking,"69, Heritage Lane, Lakshadweep",November to April,8164
Daman,Historical Tour,"81, Lake Side, Daman",November to April,4364
Goa,Food Tasting,"98, Market Road, Goa",October to March,3026
Surat,Museum Visit,"79, Market Road, Surat",November to February,1037
Darjeeling,River Rafting,"54, Temple Road, Darjeeling",November to March,8518
Gangtok,Wildlife Safari,"145, Market Road, Gangtok",November to March,6646
Jodhpur,Temple Visit,"124, Temple Road, Jodhpur",October to March,1139
Kavaratti,Sightseeing,"125, Market Road, Kavaratti",December to March,5728
Delhi,Beach Visit,"13, Market Road, Delhi",October to March,3314
Imphal,Historical Tour,"3, Cultural District, Imphal",November to March,5657
Bengaluru,Adventure Sports,"130, Hill View Road, Bengaluru",November to February,9767
Darjeeling,Trekking,"58, Beachside Promenade, Darjeeling",October to February,7356
Kolkata,Temple Visit,"87, Beachside Promenade, Kolkata",October to February,2449
Imphal,Adventure Sports,"44, Market Road, Imphal",November to March,10573
Vijayawada,Wildlife Safari,"12, Cultural District, Vijayawada",December to March,6045
Shillong,Sightseeing,"122, Market Road, Shillong",November to March,4996
Jaipur,Food Tasting,"136, Market Road, Jaipur",October to March,2375
Varanasi,Wildlife Safari,"24, Central Plaza, Varanasi",September to February,5629
Nagpur,Cultural Tour,"26, Central Plaza, Nagpur",October to March,5457
Patna,Museum Visit,"1, Cultural District, Patna",November to March,1757
Jaipur,Cultural Tour,"40, Garden Street, Jaipur",September to February,4673
Gangtok,Trekking,"36, Garden Street, Gangtok",November to March,6210
Daman,Temple Visit,"127, Market Road, Daman",December to March,3215
Pondicherry,Cultural Tour,"105, Temple Road, Pondicherry",December to March,4392
Thiruvananthapuram,Shopping,"128, Central Plaza, Thiruvananthapuram",December to March,2061
Vadodara,Shopping,"80, Temple Road, Vadodara",October to March,3864
Shimla,Trekking,"9, Main Street, Shimla",September to February,6766
Thiruvananthapuram,Shopping,"141, Garden Street, Thiruvananthapuram",December to March,3261
Chennai,Cultural Tour,"91, Central Plaza, Chennai",November to February,7860
Surat,Adventure Sports,"129, Cultural District, Surat",November to February,11903
Manali,Adventure Sports,"145, Temple Road, Manali",September to February,9140
Bengaluru,Adventure Sports,"80, Old Town, Bengaluru",December to March,7888
Imphal,Wildlife Safari,"141, Temple Road, Imphal",October to February,7388
Leh,Sightseeing,"106, Central Plaza, Leh",September to February,5178
Vadodara,Historical Tour,"115, Temple Road, Vadodara",October to March,4513
Vadodara,Beach Visit,"128, Heritage Lane, Vadodara",October to March,5534
Jodhpur,Historical Tour,"44, Garden Street, Jodhpur",October to March,4333
Bhubaneswar,Wildlife Safari,"89, Garden Street, Bhubaneswar",November to March,6061
Patna,Food Tasting,"50, Hill View Road, Patna",October to February,3608
Kavaratti,Trekking,"82, Lake Side, Kavaratti",December to March,8991
Varanasi,Food Tasting,"100, Lake Side, Varanasi",September to February,3021
Kochi,River Rafting,"145, Old Town, Kochi",December to March,7040
Diu,Temple Visit,"108, Lake Side, Diu",November to April,2982
Darjeeling,Sightseeing,"60, Main Street, Darjeeling",October to February,3574
Hyderabad,Temple Visit,"59, Lake Side, Hyderabad",November to February,2886
Diu,Temple Visit,"19, Beachside Promenade, Diu",December to March,1753
Puri,Shopping,"83, Cultural District, Puri",October to February,4772
Manali,Food Tasting,"117, Cultural District, Manali",October to March,2799
Kavaratti,Temple Visit,"55, Riverfront Area, Kavaratti",November to April,1658
Udaipur,Sightseeing,"113, Central Plaza, Udaipur",October to March,3471
Jaipur,Museum Visit,"130, Main Street, Jaipur",September to February,2779
Shimla,River Rafting,"127, Hill View Road, Shimla",September to February,8897
Vijayawada,Food Tasting,"58, Temple Road, Vijayawada",December to March,2482
Delhi,Historical Tour,"84, Old Town, Delhi",October to March,6609
Rishikesh,Trekking,"147, Main Street, Rishikesh",October to March,5494
Chandigarh,Temple Visit,"9, Hill View Road, Chandigarh",October to March,1771
Gangtok,Food Tasting,"4, Beachside Promenade, Gangtok",October to February,3966
Amritsar,Cultural Tour,"108, Temple Road, Amritsar",September to February,4654
Coimbatore,Historical Tour,"52, Hill View Road, Coimbatore",December to March,4223
Leh,Adventure Sports,"34, Hill View Road, Leh",October to March,10904
Darjeeling,Adventure Sports,"102, Market Road, Darjeeling",November to March,13765
Delhi,Temple Visit,"150, Heritage Lane, Delhi",October to March,1310
Darjeeling,Wildlife Safari,"65, Cultural District, Darjeeling",November to March,5989
Darjeeling,Historical Tour,"64, Garden Street, Darjeeling",November to March,6007
Varanasi,Temple Visit,"135, Beachside Promenade, Varanasi",October to March,1064
Pondicherry,Adventure Sports,"88, Garden Street, Pondicherry",November to February,12522
Ahmedabad,Adventure Sports,"144, Beachside Promenade, Ahmedabad",October to March,12651
Pondicherry,Temple Visit,"61, Temple Road, Pondicherry",November to February,3404
Shillong,Wildlife Safari,"144, Old Town, Shillong",October to February,5888
Bengaluru,Museum Visit,"67, Main Street, Bengaluru",December to March,1640
Agartala,River Rafting,"14, Market Road, Agartala",November to March,9831
Jaipur,Food Tasting,"67, Cultural District, Jaipur",September to February,3155
Madurai,Wildlife Safari,"67, Main Street, Madurai",November to February,7068
Daman,Temple Visit,"46, Beachside Promenade, Daman",November to April,1272
Varanasi,Cultural Tour,"49, Central Plaza, Varanasi",September to February,7791
Patna,Shopping,"23, Cultural District, Patna",October to February,2410
Kavaratti,River Rafting,"75, Central Plaza, Kavaratti",December to March,10739
Bengaluru,Food Tasting,"33, Garden Street, Bengaluru",December to March,1505
Darjeeling,Cultural Tour,"60, Main Street, Darjeeling",October to February,4779
Mysore,Shopping,"31, Central Plaza, Mysore",November to February,3204
Udaipur,Trekking,"71, Beachside Promenade, Udaipur",October to March,7667
Mumbai,Historical Tour,"75, Central Plaza, Mumbai",November to February,3253
Darjeeling,Food Tasting,"17, Main Street, Darjeeling",October to February,2377
Delhi,Beach Visit,"55, Central Plaza, Delhi",October to March,5093
Udaipur,Beach Visit,"28, Cultural District, Udaipur",November to February,5532
Goa,Adventure Sports,"101, Beachside Promenade, Goa",October to March,11213
Delhi,Historical Tour,"86, Lake Side, Delhi",October to March,5925
Jodhpur,Shopping,"91, Cultural District, Jodhpur",November to February,3304
Thiruvananthapuram,Beach Visit,"10, Cultural District, Thiruvananthapuram",November to February,2557
Leh,Sightseeing,"16, Heritage Lane, Leh",September to February,5374
Nagpur,Temple Visit,"124, Cultural District, Nagpur",November to February,2853
Udaipur,Cultural Tour,"28, Temple Road, Udaipur",November to February,5602
Patna,Shopping,"113, Garden Street, Patna",November to March,5332
Madurai,Temple Visit,"124, Cultural District, Madurai",November to February,1896
Shimla,Temple Visit,"138, Lake Side, Shimla",October to March,2159
Jodhpur,Cultural Tour,"92, Beachside Promenade, Jodhpur",November to February,7301
Ahmedabad,River Rafting,"95, Temple Road, Ahmedabad",October to March,10755
Coimbatore,Sightseeing,"64, Cultural District, Coimbatore",December to March,4295
Surat,River Rafting,"34, Old Town, Surat",November to February,8269
Lakshadweep,Cultural Tour,"131, Heritage Lane, Lakshadweep",December to March,3612
Amritsar,Food Tasting,"148, Old Town, Amritsar",October to March,3433
Udaipur,River Rafting,"144, Market Road, Udaipur",November to February,7255
Madurai,Cultural Tour,"25, Central Plaza, Madurai",December to March,7404
Imphal,Shopping,"93, Cultural District, Imphal",October to February,2128
Lakshadweep,Beach Visit,"148, Hill View Road, Lakshadweep",November to April,3130
Chandigarh,Historical Tour,"69, Heritage Lane, Chandigarh",October to March,5062
Shillong,Historical Tour,"38, Lake Side, Shillong",November to March,6259
Jodhpur,River Rafting,"74, Main Street, Jodhpur",November to February,6897
Thiruvananthapuram,Beach Visit,"25, Central Plaza, Thiruvananthapuram",November to February,5841
Shimla,Museum Visit,"73, Lake Side, Shimla",September to February,2248
Pune,Food Tasting,"146, Garden Street, Pune",November to February,2855
Kavaratti,Adventure Sports,"56, Garden Street, Kavaratti",December to March,11472
Daman,Wildlife Safari,"134, Old Town, Daman",December to March,5279
Gangtok,Museum Visit,"28, Market Road, Gangtok",October to February,2574
Varanasi,Temple Visit,"112, Main Street, Varanasi",October to March,2908
Varanasi,Cultural Tour,"66, Beachside Promenade, Varanasi",September to February,5574
Vijayawada,Cultural Tour,"13, Temple Road, Vijayawada",December to March,7573
Madurai,River Rafting,"142, Old Town, Madurai",December to March,10441
Port Blair,Adventure Sports,"25, Old Town, Port Blair",December to March,11925
Vadodara,River Rafting,"23, Hill View Road, Vadodara",November to February,9434
Bengaluru,Adventure Sports,"130, Hill View Road, Bengaluru",November to February,7523
Kochi,Beach Visit,"138, Old Town, Kochi",December to March,4322
Varanasi,Cultural Tour,"32, Market Road, Varanasi",September to February,5538
Rishikesh,Trekking,"109, Market Road, Rishikesh",October to March,7648
Bengaluru,Cultural Tour,"43, Cultural District, Bengaluru",December to March,7130
Bhubaneswar,Sightseeing,"12, Market Road, Bhubaneswar",November to March,6026
Udaipur,River Rafting,"97, Old Town, Udaipur",November to February,10666
Bhubaneswar,Sightseeing,"16, Lake Side, Bhubaneswar",October to February,3957
Coimbatore,River Rafting,"105, Riverfront Area, Coimbatore",November to February,11371
Amritsar,Shopping,"17, Beachside Promenade, Amritsar",September to February,2520
Delhi,Shopping,"101, Central Plaza, Delhi",October to March,2367
Daman,River Rafting,"93, Temple Road, Daman",November to April,6750
Lakshadweep,Shopping,"44, Main Street, Lakshadweep",December to March,5029
Daman,Museum Visit,"39, Riverfront Area, Daman",December to March,2456
Shimla,Beach Visit,"46, Heritage Lane, Shimla",September to February,2605
Kolkata,Trekking,"111, Market Road, Kolkata",October to February,8554
Manali,Food Tasting,"17, Riverfront Area, Manali",September to February,3155
Kochi,Museum Visit,"14, Garden Street, Kochi",December to March,2395
Lakshadweep,Trekking,"55, Hill View Road, Lakshadweep",December to March,4747
Bengaluru,Cultural Tour,"108, Riverfront Area, Bengaluru",November to February,4648
Agra,River Rafting,"96, Old Town, Agra",October to March,11668
Daman,Sightseeing,"128, Old Town, Daman",December to March,3979
Amritsar,Shopping,"42, Temple Road, Amritsar",September to February,5039
Varanasi,Trekking,"32, Lake Side, Varanasi",October to March,5957
Chennai,Beach Visit,"140, Main Street, Chennai",November to February,2768
Jaipur,Historical Tour,"130, Garden Street, Jaipur",October to March,7044
Gangtok,Shopping,"98, Hill View Road, Gangtok",October to February,3160
Jaipur,Wildlife Safari,"2, Old Town, Jaipur",September to February,8785
Hyderabad,River Rafting,"83, Hill View Road, Hyderabad",November to February,8654
Mysore,Historical Tour,"91, Lake Side, Mysore",November to February,6694
Lakshadweep,Shopping,"30, Riverfront Area, Lakshadweep",November to April,5464
Patna,Sightseeing,"45, Riverfront Area, Patna",October to February,3746
Vadodara,Food Tasting,"80, Riverfront Area, Vadodara",October to March,3613
Madurai,Museum Visit,"13, Garden Street, Madurai",November to February,2522
Imphal,Temple Visit,"121, Lake Side, Imphal",November to March,3364
Chandigarh,Sightseeing,"53, Hill View Road, Chandigarh",October to March,6708
Varanasi,River Rafting,"37, Old Town, Varanasi",October to March,10111
Lakshadweep,Wildlife Safari,"144, Hill View Road, Lakshadweep",December to March,9287
Gangtok,Beach Visit,"96, Market Road, Gangtok",November to March,4814
Nagpur,Sightseeing,"82, Lake Side, Nagpur",November to February,6615
Port Blair,Food Tasting,"74, Central Plaza, Port Blair",November to April,2674
Vijayawada,Trekking,"67, Riverfront Area, Vijayawada",November to February,4552
Jaipur,Beach Visit,"147, Old Town, Jaipur",September to February,5647
Ahmedabad,Museum Visit,"11, Beachside Promenade, Ahmedabad",November to February,1172
Puri,Shopping,"24, Central Plaza, Puri",November to March,3569
Delhi,Temple Visit,"65, Garden Street, Delhi",September to February,2669
Ranchi,Cultural Tour,"2, Market Road, Ranchi",October to February,4962
Shimla,Cultural Tour,"12, Central Plaza, Shimla",October to March,5338
Chennai,Beach Visit,"90, Old Town, Chennai",November to February,4466
Pondicherry,Wildlife Safari,"76, Lake Side, Pondicherry",November to February,7992
Gangtok,Cultural Tour,"130, Main Street, Gangtok",November to March,3943
Coimbatore,Trekking,"65, Old Town, Coimbatore",December to March,7026
Rishikesh,Wildlife Safari,"11, Cultural District, Rishikesh",October to March,8970
Ranchi,Trekking,"108, Main Street, Ranchi",October to February,4450
Vijayawada,Wildlife Safari,"123, Riverfront Area, Vijayawada",November to February,8272
Puri,Adventure Sports,"66, Riverfront Area, Puri",November to March,7099
Jaipur,Beach Visit,"94, Main Street, Jaipur",September to February,2849
Chennai,Beach Visit,"144, Hill View Road, Chennai",December to March,2756
Patna,Cultural Tour,"6, Central Plaza, Patna",November to March,6730
Vijayawada,Beach Visit,"129, Riverfront Area, Vijayawada",November to February,4222
Pondicherry,Historical Tour,"67, Lake Side, Pondicherry",December to March,3014
Jaipur,Sightseeing,"51, Temple Road, Jaipur",September to February,3969
Goa,Beach Visit,"143, Lake Side, Goa",November to February,4748
Hyderabad,Museum Visit,"34, Central Plaza, Hyderabad",December to March,2775
Mysore,Cultural Tour,"116, Market Road, Mysore",November to February,6798
Ranchi,Food Tasting,"5, Riverfront Area, Ranchi",November to March,3458
Imphal,Food Tasting,"146, Riverfront Area, Imphal",October to February,3794
Jodhpur,Cultural Tour,"69, Lake Side, Jodhpur",November to February,5384
